K_omega,K_delta,status,total_final,terminal_final,runtime_s,iterations,grad_norm_final,step_norm_final,oracle_calls,max_abs_omega,area_omega_over_pi,negativity_fraction,run_name,artifacts_dir
4,0,max_iters,485.3693801464596,0.07256225597662291,30.367473299847916,500,6.868768475840216,0.07119598961330577,500,444.86087421498996,9.159652371452891,0.0,basis-capacity-sweep-Ko04-Kd00,artifacts\basis-capacity-sweep-Ko04-Kd00
8,0,max_iters,272.7408044991701,0.012682983400762904,26.131971399998292,500,5.1800123236463715,0.04860486403870564,500,358.5071049627151,6.898051014099924,0.0,basis-capacity-sweep-Ko08-Kd00,artifacts\basis-capacity-sweep-Ko08-Kd00
16,0,max_iters,173.50516966325532,0.2567021576128634,26.33813409996219,500,3.93395674488104,0.028277820725165624,500,299.907991827728,5.272156846505489,0.0,basis-capacity-sweep-Ko16-Kd00,artifacts\basis-capacity-sweep-Ko16-Kd00
24,0,max_iters,138.05493644125366,0.015034603209066688,24.461209200089797,500,3.1031327218744145,0.02179421899356221,500,288.05186731049554,5.001156346550205,0.0,basis-capacity-sweep-Ko24-Kd00,artifacts\basis-capacity-sweep-Ko24-Kd00
4,2,max_iters,485.7492597353806,0.06258372329299267,27.91884330008179,500,6.884214459788696,0.20107033328991203,500,444.3417227759778,9.142766567490265,0.0,basis-capacity-sweep-Ko04-Kd02,artifacts\basis-capacity-sweep-Ko04-Kd02
8,2,max_iters,273.29103845461725,0.0010194662016648204,27.631181000033394,500,5.188685570645784,0.13473601888017778,500,357.1456572126439,6.8286519863040445,0.0,basis-capacity-sweep-Ko08-Kd02,artifacts\basis-capacity-sweep-Ko08-Kd02
16,2,max_iters,173.42754073938414,0.15276412715307208,26.659866200061515,500,3.9461189813961735,0.028604189727312466,500,299.85061983828433,5.248761124232016,0.0,basis-capacity-sweep-Ko16-Kd02,artifacts\basis-capacity-sweep-Ko16-Kd02
24,2,max_iters,138.18363863895706,0.0001259225285231702,24.278202899964526,500,3.1255924245881914,0.06636999836605988,500,287.51823533118187,4.923360996616522,0.0,basis-capacity-sweep-Ko24-Kd02,artifacts\basis-capacity-sweep-Ko24-Kd02
4,4,max_iters,486.07952245471057,0.05500393553545968,26.80037140008062,500,6.89700297040859,0.22903637665062773,500,443.9257349775674,9.129890950604418,0.0,basis-capacity-sweep-Ko04-Kd04,artifacts\basis-capacity-sweep-Ko04-Kd04
8,4,max_iters,273.2902291292125,0.0005365000734399716,27.391597700072452,500,5.189753829472271,0.13937473520705856,500,357.1708511308883,6.827003534497847,0.0,basis-capacity-sweep-Ko08-Kd04,artifacts\basis-capacity-sweep-Ko08-Kd04
16,4,max_iters,173.39383795392234,0.13551243436443716,25.963953300146386,500,3.9487642111229,0.028758880388652826,500,299.8983997931568,5.251226910819084,0.0,basis-capacity-sweep-Ko16-Kd04,artifacts\basis-capacity-sweep-Ko16-Kd04
24,4,max_iters,138.1845700099391,4.231962300549341e-05,24.874875499866903,500,3.1262350096104425,0.045807017024560935,500,287.5256659468841,4.921612895053233,0.0,basis-capacity-sweep-Ko24-Kd04,artifacts\basis-capacity-sweep-Ko24-Kd04
4,8,max_iters,485.7347342513466,0.055910908360932376,26.579159599961713,500,6.885428419124734,0.1733862466898324,500,444.43645661008856,9.14660514246221,0.0,basis-capacity-sweep-Ko04-Kd08,artifacts\basis-capacity-sweep-Ko04-Kd08
8,8,max_iters,273.1423404263396,3.964188463267959e-06,26.67580939992331,500,5.1854131144798945,0.08260007648901357,500,357.6319420103196,6.859493122911469,0.0,basis-capacity-sweep-Ko08-Kd08,artifacts\basis-capacity-sweep-Ko08-Kd08
16,8,max_iters,173.1480032669141,8.534584275632362e-05,24.86165580013767,500,3.9845662525470384,0.04675557375934755,500,300.2347387702886,5.277857491797573,0.0,basis-capacity-sweep-Ko16-Kd08,artifacts\basis-capacity-sweep-Ko16-Kd08
24,8,max_iters,138.18310695605285,1.924033490641186e-05,24.80766570009291,500,3.126460949766749,0.04522729433925997,500,287.5320357393176,4.922501370527276,0.0,basis-capacity-sweep-Ko24-Kd08,artifacts\basis-capacity-sweep-Ko24-Kd08
